10us,Module,Name,DemangledName,Type,RawType,Size,DefaultValues,Comment,IsReadOnly
0x8585C8,,_ZTV9CBuilding,`vtable for'CBuilding,,,1,,,1
0x858624,,fOne,fOne,,,1,,,1
0x858A10,,CRadar::radarScreenX,CRadar__radarScreenX,,,1,,,1
0x858B50,,fZero,fZero,,,1,,,1
0x858B54,,gta_empty_string,gta_empty_string,const char[4],,4,"{0, 0, 0, 0}",,1
0x858B88,,f_0_0078125,f_0_0078125,,,1,,,1
0x858C1C,,fMinusOne,fMinusOne,,,1,,,1
0x858CB8,,_Pi,_Pi,,,1,,,1
0x858CBC,,_twoPi,_twoPi,,,1,,,1
0x858CC0,,_minusPi,_minusPi,,,1,,,1
0x858CE0,,f_70,f_70,,,1,,,1
0x858E68,,_ZTV25CEventAcquaintancePedHate,`vtable for'CEventAcquaintancePedHate,,,1,,,1
0x858EB0,,_ZTV23CTaskComplexLeaveAnyCar,`vtable for'CTaskComplexLeaveAnyCar,,,1,,,1
0x858EE8,,strangeValue_0_4,strangeValue_0_4,,,1,,,1
0x8594DC,,aircraftMaxHeight,aircraftMaxHeight,,,1,,,1
0x859540,,_ZTV21CEventLeaderEntryExit,`vtable for'CEventLeaderEntryExit,,,1,,,1
0x859580,,_ZTV26CTaskSimpleUninterruptable,`vtable for'CTaskSimpleUninterruptable,,,1,,,1
0x859878,,_radToDeg,_radToDeg,,,1,,,1
0x8598B0,,f_2500,f_2500,,,1,,,1
0x859988,,_ZTV14CAEAudioEntity,`vtable for'CAEAudioEntity,,,1,,,1
0x85998C,,_ZTV18CAEDoorAudioEntity,`vtable for'CAEDoorAudioEntity,,,1,,,1
0x859AAC,,f_255,f_255,,,1,,,1
0x859C80,,_ZTV21CTaskComplexWanderCop,`vtable for'CTaskComplexWanderCop,,,1,,,1
0x859CFC,,_ZTV15CTaskSimpleNone,`vtable for'CTaskSimpleNone,,,1,,,1
0x859D20,,_ZTV22CTaskSimpleFinishBrain,`vtable for'CTaskSimpleFinishBrain,,,1,,,1
0x859DA0,,_ZTV31CTaskSimpleSetCharDecisionMaker,`vtable for'CTaskSimpleSetCharDecisionMaker,,,1,,,1
0x859DCC,,_ZTV17CTaskComplexClimb,`vtable for'CTaskComplexClimb,,,1,,,1
0x859DF8,,_ZTV22CTaskComplexSeekEntityI32CEntitySeekPosCalculatorStandardE,`vtable for'CTaskComplexSeekEntity<CEntitySeekPosCalculatorStandard>,,,1,,,1
0x859E50,,_ZTV24CTaskSimpleCarDriveTimed,`vtable for'CTaskSimpleCarDriveTimed,,,1,,,1
0x859EBC,,_ZTV39CTaskSimpleSetCharIgnoreWeaponRangeFlag,`vtable for'CTaskSimpleSetCharIgnoreWeaponRangeFlag,,,1,,,1
0x85A0D0,,_ZTV16CTaskSimpleCower,`vtable for'CTaskSimpleCower,,,1,,,1
0x85A100,,_ZTV22CTaskSimpleScratchHead,`vtable for'CTaskSimpleScratchHead,,,1,,,1
0x85A134,,_ZTV17CTaskSimpleUseAtm,`vtable for'CTaskSimpleUseAtm,,,1,,,1
0x85A164,,_ZTV20CTaskSimpleLookAbout,`vtable for'CTaskSimpleLookAbout,,,1,,,1
0x85A198,,_ZTV30CEventLeaderEnteredCarAsDriver,`vtable for'CEventLeaderEnteredCarAsDriver,,,1,,,1
0x85A1DC,,_ZTV14CTaskSimpleSay,`vtable for'CTaskSimpleSay,,,1,,,1
0x85A200,,_ZTV26CTaskComplexWanderStandard,`vtable for'CTaskComplexWanderStandard,,,1,,,1
0x85A23C,,_ZTV26CTaskComplexWanderCriminal,`vtable for'CTaskComplexWanderCriminal,,,1,,,1
0x85A278,,_ZTV16CTaskSimplePause,`vtable for'CTaskSimplePause,,,1,,,1
0x85A29C,,_ZTV18CTaskSimpleHandsUp,`vtable for'CTaskSimpleHandsUp,,,1,,,1
0x85A334,,_ZTV33CTaskSimpleTogglePedThreatScanner,`vtable for'CTaskSimpleTogglePedThreatScanner,,,1,,,1
0x85A358,,_ZTV42CTaskComplexDiveFromAttachedEntityAndGetUp,`vtable for'CTaskComplexDiveFromAttachedEntityAndGetUp,,,1,,,1
0x85A388,,_ZTV22CTaskComplexSeekEntityI41CEntitySeekPosCalculatorRadiusAngleOffsetE,`vtable for'CTaskComplexSeekEntity<CEntitySeekPosCalculatorRadiusAngleOffset>,,,1,,,1
0x85A428,,_ZTV17CTaskComplexBeCop,`vtable for'CTaskComplexBeCop,,,1,,,1
0x85A788,,_ZTV13FxEmitterBP_c,`vtable for'FxEmitterBP_c,,,1,,,1
0x85A7A4,,_ZTV11FxEmitter_c,`vtable for'FxEmitter_c,,,1,,,1
0x85A7DC,,_ZTV8FxInfo_c,`vtable for'FxInfo_c,,,1,,,1
0x85A7E8,,_ZTV14FxInfoEmSize_c,`vtable for'FxInfoEmSize_c,,,1,,,1
0x85A7F4,,_ZTV15FxInfoEmSpeed_c,`vtable for'FxInfoEmSpeed_c,,,1,,,1
0x85A800,,_ZTV13FxInfoEmDir_c,`vtable for'FxInfoEmDir_c,,,1,,,1
0x85A80C,,_ZTV15FxInfoEmAngle_c,`vtable for'FxInfoEmAngle_c,,,1,,,1
0x85A818,,_ZTV14FxInfoEmLife_c,`vtable for'FxInfoEmLife_c,,,1,,,1
0x85A824,,_ZTV13FxInfoEmPos_c,`vtable for'FxInfoEmPos_c,,,1,,,1
0x85A830,,_ZTV17FxInfoEmWeather_c,`vtable for'FxInfoEmWeather_c,,,1,,,1
0x85A83C,,_ZTV18FxInfoEmRotation_c,`vtable for'FxInfoEmRotation_c,,,1,,,1
0x85A848,,_ZTV13FxInfoNoise_c,`vtable for'FxInfoNoise_c,,,1,,,1
0x85A854,,_ZTV13FxInfoForce_c,`vtable for'FxInfoForce_c,,,1,,,1
0x85A860,,_ZTV16FxInfoFriction_c,`vtable for'FxInfoFriction_c,,,1,,,1
0x85A86C,,_ZTV17FxInfoAttractPt_c,`vtable for'FxInfoAttractPt_c,,,1,,,1
0x85A878,,_ZTV19FxInfoAttractLine_c,`vtable for'FxInfoAttractLine_c,,,1,,,1
0x85A884,,_ZTV21FxInfoGroundCollide_c,`vtable for'FxInfoGroundCollide_c,,,1,,,1
0x85A890,,_ZTV12FxInfoWind_c,`vtable for'FxInfoWind_c,,,1,,,1
0x85A89C,,_ZTV14FxInfoJitter_c,`vtable for'FxInfoJitter_c,,,1,,,1
0x85A8A8,,_ZTV16FxInfoRotSpeed_c,`vtable for'FxInfoRotSpeed_c,,,1,,,1
0x85A8B4,,_ZTV13FxInfoFloat_c,`vtable for'FxInfoFloat_c,,,1,,,1
0x85A8C0,,_ZTV18FxInfoUnderwater_c,`vtable for'FxInfoUnderwater_c,,,1,,,1
0x85A8CC,,_ZTV14FxInfoColour_c,`vtable for'FxInfoColour_c,,,1,,,1
0x85A8D8,,_ZTV12FxInfoSize_c,`vtable for'FxInfoSize_c,,,1,,,1
0x85A8E4,,_ZTV18FxInfoSpriteRect_c,`vtable for'FxInfoSpriteRect_c,,,1,,,1
